Timestamp,Sensor_ID,Temperature (°C),Humidity (%),Vibration_Level (Hz),Material_Usage (kg),Energy_Consumption (kWh),Worker_Count,Task_Progress (%),Safety_Incidents,Resource_Utilization (%),Risk_Score,Simulation_Accuracy (%),Optimization_Suggestion,Performance_Score
2023-01-01 00:00:00,Sensor_41,26.236203565420873,42.41844910800191,36.49991554949852,674.3301115349566,184.51041854198743,18,0.08650598154880991,0,86.51838118600841,32.60780639050682,81.4584926581812,Enhance Safety Measures,Exceptional
2023-01-01 00:01:00,Sensor_27,43.52142919229749,39.974725773884195,9.225599779935578,513.3632081807739,92.66799882292611,79,0.16288832837546507,0,91.00310653752942,98.11638824371414,83.01428689396974,Adjust Schedule,Exceptional
2023-01-01 00:02:00,Sensor_20,36.95981825434215,30.569234750171603,17.331984718494308,968.0486723775467,106.86165123749718,33,0.2413553652346881,0,56.74197029851646,85.46018754003696,80.20250513116645,Reallocate Workers,Exceptional
2023-01-01 00:03:00,Sensor_31,32.959754525911094,56.436000206089275,33.164031842890914,297.08060588581435,131.3020076814148,99,0.2673920330602727,0,83.96449832403674,14.811443363186038,81.96650527247024,Enhance Safety Measures,Exceptional
2023-01-01 00:04:00,Sensor_12,19.680559213273096,48.59744963051773,24.104467226223996,629.0707743990466,141.64400046422676,74,0.3219560868090326,0,96.04583203520963,20.387713949891072,91.29250659981189,Increase Machinery Efficiency,Exceptional
2023-01-01 00:05:00,Sensor_89,19.67983561008608,71.94205953944022,36.92855193174469,730.1890134912004,159.01781414474482,96,0.3344348018882056,0,62.57129764180854,74.85837029435528,84.87732418325787,Optimize Material Usage,Exceptional
2023-01-01 00:06:00,Sensor_98,16.742508365045985,21.926574828923496,48.060395061142984,843.0080404108435,164.95701303357248,26,0.3727928188900442,0,79.25043044349364,2.575176567422588,81.30761476299061,Adjust Schedule,Exceptional
2023-01-01 00:07:00,Sensor_54,40.98528437324806,58.63207565330758,5.827334385759874,466.2739273852064,255.07235546939117,46,0.4141145757590675,0,63.72941423290706,33.545042630024824,82.57418682152223,Enhance Safety Measures,Exceptional
2023-01-01 00:08:00,Sensor_90,33.03345035229626,65.77693271069367,35.478385819903046,718.2297168917333,279.30793587171854,59,0.506346691377375,0,88.72037074036865,53.25185317826803,80.81970775315271,Enhance Safety Measures,Exceptional
2023-01-01 00:09:00,Sensor_49,36.242177333881365,65.56919415129842,11.517207781605727,372.8813242458545,188.99564365686018,54,0.6056971432811994,0,79.03300186123326,20.491109539624873,94.76220178976423,Increase Machinery Efficiency,Exceptional
2023-01-01 00:10:00,Sensor_99,15.617534828874074,73.1644380257315,20.72383637037846,491.92848312563825,458.2833889643277,29,0.6712942744206849,0,71.40381738615211,87.31511273723018,90.66826471977362,Adjust Schedule,Exceptional
