timestamp,temperature,humidity,vibration_level,material_usage,machinery_status,worker_count,energy_consumption,task_progress,cost_deviation,time_deviation,safety_incidents,equipment_utilization_rate,material_shortage_alert,risk_score,simulation_deviation,update_frequency,optimization_suggestion,performance_score
2023-01-01 00:00:00,25.75,60.29,27.06,10.71,0,33,225.5,0.0,-823.95,-0.96,0,0.0,0,13.68,0.32,10,Increase Machinery Efficiency,Poor
2023-01-01 00:01:00,24.83,59.74,4.61,14.85,1,27,284.01,0.0073,-657.35,-0.02,0,57.82,0,20.68,0.45,10,Increase Machinery Efficiency,Poor
2023-01-01 00:02:00,26.04,62.72,10.23,12.69,1,35,327.45,0.0,-26.69,0.18,0,80.99,0,33.4,0.64,10,Increase Machinery Efficiency,Poor
2023-01-01 00:03:00,27.39,64.4,13.83,19.5,1,34,343.87,0.0,-606.76,-0.78,0,67.7,0,24.81,0.41,10,Increase Machinery Efficiency,Poor
2023-01-01 00:04:00,24.79,61.8,33.3,13.51,1,31,386.7,0.037,-736.46,-1.0,0,65.96,0,27.34,0.36,10,Increase Machinery Efficiency,Poor
2023-01-01 00:05:00,24.82,62.71,28.82,33.12,1,26,343.85,0.0371,-1049.99,-1.19,0,66.76,0,33.28,0.34,10,Increase Machinery Efficiency,Poor
2023-01-01 00:06:00,27.58,58.96,9.63,13.07,1,28,312.26,0.0169,-756.45,-0.3,0,64.98,0,29.86,0.67,10,Increase Machinery Efficiency,Poor
2023-01-01 00:07:00,26.4,59.92,5.54,18.66,1,34,323.57,0.0,-500.6,-1.48,0,71.53,0,29.69,0.81,10,Increase Machinery Efficiency,Poor
2023-01-01 00:08:00,24.57,63.93,20.66,23.62,1,27,321.22,0.018,-964.32,0.08,0,70.91,0,32.95,0.48,10,Increase Machinery Efficiency,Poor
2023-01-01 00:09:00,26.13,60.99,7.31,10.79,1,30,302.93,0.0056,-1148.84,0.95,1,71.49,0,36.52,0.41,10,Enhance Safety Measures,Poor
2023-01-01 00:10:00,24.65,58.62,12.06,10.57,1,27,318.9,0.0,-613.5,0.22,0,64.3,0,27.42,0.67,10,Increase Machinery Efficiency,Poor
2023-01-01 00:11:00,24.69,59.38,16.93,22.23,1,31,330.52,0.0,-566.78,-0.45,0,71.44,0,31.23,0.46,10,Increase Machinery Efficiency,Poor
2023-01-01 00:12:00,25.78,62.33,26.71,23.75,1,32,365.71,0.0341,-26.58,-1.09,0,70.68,0,31.39,1.06,10,Increase Machinery Efficiency,Poor
2023-01-01 00:13:00,22.58,62.53,8.91,48.07,1,30,292.52,0.0267,-404.02,-0.45,0,81.0,0,26.15,0.18,10,Increase Machinery Efficiency,Poor
2023-01-01 00:14:00,22.9,56.56,13.23,47.74,1,33,337.91,0.0288,-429.18,-0.45,0,71.87,0,30.02,0.66,10,Increase Machinery Efficiency,Poor
2023-01-01 00:15:00,24.68,60.11,1.43,18.54,1,28,269.85,0.0414,-1174.9,-1.28,0,59.23,0,20.63,0.7,10,Increase Machinery Efficiency,Poor
2023-01-01 00:16:00,24.04,58.93,25.86,28.53,1,36,377.93,0.0345,-95.46,2.31,2,72.76,0,59.37,0.71,10,Enhance Safety Measures,Poor
2023-01-01 00:17:00,26.06,58.69,19.03,25.69,0,29,192.47,0.0592,-946.53,-1.31,0,0.0,0,11.05,0.57,10,Increase Machinery Efficiency,Poor
2023-01-01 00:18:00,24.27,62.81,18.52,21.25,1,30,331.87,0.0124,-764.26,0.04,0,67.64,0,27.6,0.79,10,Increase Machinery Efficiency,Poor
2023-01-01 00:19:00,23.54,58.05,13.74,20.45,1,35,336.04,0.0341,-423.17,0.77,1,75.63,0,43.83,0.31,10,Enhance Safety Measures,Poor
2023-01-01 00:20:00,27.9,56.97,12.87,26.33,0,26,159.44,0.0164,-1019.64,1.17,1,0.0,0,21.48,0.41,10,Enhance Safety Measures,Poor
2023-01-01 00:21:00,25.39,56.18,9.25,27.03,1,32,328.51,0.0222,-761.49,-1.57,0,75.62,0,29.42,0.0,10,Increase Machinery Efficiency,Poor
2023-01-01 00:22:00,25.87,58.04,35.07,29.34,1,30,363.73,0.0765,-523.51,-1.73,0,60.76,0,33.44,0.49,10,Increase Machinery Efficiency,Poor
2023-01-01 00:23:00,23.66,56.29,4.88,48.08,1,32,326.86,0.0293,-330.55,-1.49,0,60.41,0,23.57,0.88,10,Increase Machinery Efficiency,Poor
2023-01-01 00:24:00,25.02,55.84,2.32,34.42,0,31,137.63,0.0287,-1556.36,-0.45,0,0.0,0,6.68,0.63,10,Increase Machinery Efficiency,Poor
2023-01-01 00:25:00,26.04,55.7,20.66,29.78,0,26,174.68,0.0571,-1230.34,-0.53,0,0.0,0,16.57,0.75,10,Increase Machinery Efficiency,Poor
2023-01-01 00:26:00,24.18,55.81,46.4,34.8,1,36,434.21,0.0306,-242.05,-0.65,0,71.22,0,38.62,0.31,10,Increase Machinery Efficiency,Poor
